date,close,volume
2024-08-05,1865.0,26908500
2024-08-06,2220.5,26810000
2024-08-07,2233.5,25733800
2024-08-08,2178.0,17573300
2024-08-09,2187.5,15839800
2024-08-13,2217.0,17990900
2024-08-14,2283.0,13457200
2024-08-15,2335.0,11452300
2024-08-16,2509.5,19036200
2024-08-19,2429.5,11623900
2024-08-20,2488.0,10689900
2024-08-21,2448.0,9062700
2024-08-22,2498.0,13768500
2024-08-23,2461.5,11736900
2024-08-26,2438.0,9374200
2024-08-27,2442.0,7000600
2024-08-28,2450.0,8757700
2024-08-29,2448.0,10174300
2024-08-30,2514.0,30648900
2024-09-02,2513.5,6802000
2024-09-03,2475.5,6795000
2024-09-04,2265.0,20614000
2024-09-05,2192.0,20049800
2024-09-06,2156.5,11312600
2024-09-09,2089.5,18433200
2024-09-10,2115.5,13706800
2024-09-11,2060.5,10568100
2024-09-12,2116.0,11100000
2024-09-13,2106.0,11474600
2024-09-17,2023.5,16470700
2024-09-18,1995.0,12955600
2024-09-19,2046.0,12604200
2024-09-20,2118.5,12723100
2024-09-24,2018.0,15768300
2024-09-25,2065.0,9173500
2024-09-26,2121.0,11209500
2024-09-27,2199.0,13881400
2024-09-30,2079.0,16692100
2024-10-01,2160.5,9616100
2024-10-02,2092.0,8005000
2024-10-03,2167.5,9746600
2024-10-04,2136.0,6235400
2024-10-07,2169.5,7442400
2024-10-08,2130.0,9798200
2024-10-09,2136.0,7621200
2024-10-10,2100.5,7036600
2024-10-11,2101.0,5866000
2024-10-15,2171.5,10405300
2024-10-16,2124.5,8949400
2024-10-17,2111.5,8669600
2024-10-18,2086.0,10310700
2024-10-21,2053.0,8236800
2024-10-22,1998.5,11671600
2024-10-23,2025.0,11958400
2024-10-24,2042.0,7364900
2024-10-25,2015.0,6545100
2024-10-28,2099.5,9186200
2024-10-29,2160.5,10032100
2024-10-30,2221.0,15799300
2024-10-31,2110.0,29446900
2024-11-01,1991.5,25580300
2024-11-05,1954.0,15199700
2024-11-06,2040.5,10764600
2024-11-07,2056.0,9316600
2024-11-08,1988.5,9029100
2024-11-11,1993.0,5579500
2024-11-12,2156.5,26057300
2024-11-13,2117.0,12121100
2024-11-14,2054.0,10181400
2024-11-15,2046.0,9750500
2024-11-18,1998.0,10403000
2024-11-19,2041.0,9046100
2024-11-20,2028.5,6214400
2024-11-21,2015.0,6919200
2024-11-22,2012.0,7239100
2024-11-25,2022.5,12120100
2024-11-26,2000.5,8840800
2024-11-27,1961.0,9315000
2024-11-28,1975.0,8153700
2024-11-29,1963.5,7354300
2024-12-02,2017.5,8671200
2024-12-03,2050.0,8857300
2024-12-04,2019.5,7061400
2024-12-05,2010.0,8853700
2024-12-06,1965.0,8071200
2024-12-09,1962.0,6617900
2024-12-10,2045.0,10803800
2024-12-11,2038.5,7539600
2024-12-12,2038.0,7165500
2024-12-13,2014.0,7573100
2024-12-16,2005.0,5775400
2024-12-17,2020.5,7823700
2024-12-18,2005.0,7498100
2024-12-19,2005.5,9666200
2024-12-20,2029.5,14674800
2024-12-23,2050.5,4876300
2024-12-24,2014.0,7067900
2024-12-25,2022.5,3870600
2024-12-26,2026.0,5258100
2024-12-27,2065.0,7890100
2024-12-30,2046.5,4953300
2025-01-06,2021.0,8567000
2025-01-07,2162.5,18968700
2025-01-08,2111.0,10554800
2025-01-09,2056.0,11590600
2025-01-10,2021.0,7495200
2025-01-14,1983.0,9290600
2025-01-15,1976.0,8653800
2025-01-16,2008.0,12247500
2025-01-17,1998.5,6379400
2025-01-20,2034.0,4487600
2025-01-21,2079.0,6077600
2025-01-22,2166.5,12135400
2025-01-23,2171.5,9491100
2025-01-24,2145.0,9152900
2025-01-27,2118.5,6278500
2025-01-28,2043.0,8548200
2025-01-29,2162.5,11457800
2025-01-30,2100.5,9811900
2025-01-31,2107.5,8721100
2025-02-03,2009.0,14483400
2025-02-04,2023.0,9651700
2025-02-05,2047.5,12743000
2025-02-06,2305.5,44489700
2025-02-07,2466.5,32926500
2025-02-10,2437.0,12776600
2025-02-12,2429.5,14796000
2025-02-13,2490.5,9522600
2025-02-14,2435.0,8509700
2025-02-17,2509.5,7420700
2025-02-18,2512.0,6034200
2025-02-19,2589.0,9914900
2025-02-20,2700.0,21839500
2025-02-21,2743.5,12467400
2025-02-25,2629.5,14348600
2025-02-26,2530.0,13402700
2025-02-27,2576.0,8661000
2025-02-28,2464.5,13225500
2025-03-03,2470.0,9282400
2025-03-04,2431.5,12794700
2025-03-05,2433.5,8973300
2025-03-06,2459.0,9518700
2025-03-07,2394.0,9551000
2025-03-10,2338.5,9656300
2025-03-11,2277.0,13255500
2025-03-12,2296.0,10682200
2025-03-13,2260.0,9654100
2025-03-14,2260.5,9143200
2025-03-17,2302.5,8876100
2025-03-18,2380.0,8722200
2025-03-19,2337.5,5158100
2025-03-21,2299.0,9347900
2025-03-24,2306.0,5943800
2025-03-25,2330.0,7046900
2025-03-26,2343.0,5409200
2025-03-27,2305.5,11695800
2025-03-28,2238.5,7785000
2025-03-31,1987.5,24237800
2025-04-01,2010.0,12539400
2025-04-02,2026.0,8105500
2025-04-03,1895.0,20291400
2025-04-04,1656.0,24793600
2025-04-07,1380.0,27312000
2025-04-08,1550.0,21833400
2025-04-09,1453.5,20255000
2025-04-10,1681.5,25539900
2025-04-11,1691.0,19218800
2025-04-14,1660.5,12421000
2025-04-15,1670.5,11310400
2025-04-16,1600.0,15701800
2025-04-17,1626.5,11441700
2025-04-18,1603.0,8470100
2025-04-21,1560.5,7588500
2025-04-22,1580.0,11033500
2025-04-23,1626.5,13616400
2025-04-24,1670.0,34246100
2025-04-25,1774.5,21312600
2025-04-28,1720.5,10250100
2025-04-30,1672.5,17882000
2025-05-01,1743.0,11671400
2025-05-02,1733.0,10261000
2025-05-07,1715.5,15826100
2025-05-08,1712.5,10959900
2025-05-09,1812.0,13236100
2025-05-12,1867.0,15274400
2025-05-13,1873.0,33971200
2025-05-14,1895.5,18503600
2025-05-15,1890.0,11277100
2025-05-16,1823.5,14519000
2025-05-19,1790.0,11105900
2025-05-20,1825.0,9829500
2025-05-21,1764.5,27560500
2025-05-22,1736.0,14858000
2025-05-23,1778.0,13026300
2025-05-26,1745.5,10033500
2025-05-27,1734.5,6151800
2025-05-28,1760.0,8056700
2025-05-29,1849.0,15750800
2025-05-30,1783.0,21869500
2025-06-02,1730.0,7086200
2025-06-03,1763.0,8981900
2025-06-04,1825.0,10359000
2025-06-05,1866.5,19194600
2025-06-06,1911.0,13636900
2025-06-09,1894.0,8471100
2025-06-10,1940.0,11115200
2025-06-11,1979.0,10508600
2025-06-12,1960.0,8154800
2025-06-13,1911.0,9821500
2025-06-16,1865.5,13139700
2025-06-17,1900.0,12781800
2025-06-18,1868.5,9538000
2025-06-19,1935.0,14777900
2025-06-20,1932.5,13391800
2025-06-23,1955.0,11562500
2025-06-24,1934.5,10380000
2025-06-25,1971.5,9450500
2025-06-26,1735.5,49840800
2025-06-27,1765.0,28765100
2025-06-30,1789.0,16281400
2025-07-01,1772.0,13665800
2025-07-02,1815.0,21344200
2025-07-03,1902.0,15578300
2025-07-04,1894.5,9288500
2025-07-07,1853.5,7948300
2025-07-08,1904.0,11755700
2025-07-09,1944.0,14419600
2025-07-10,1893.0,9674000
2025-07-11,1928.0,9889600
2025-07-14,1931.0,6480600
2025-07-15,1874.5,10724200
2025-07-16,1847.0,13075400
2025-07-17,1905.5,13552400
2025-07-18,1906.0,9429800
2025-07-22,1866.0,9902100
2025-07-23,1889.0,18514700
2025-07-24,1917.0,14411800
2025-07-25,1826.5,36982100
2025-07-28,1882.0,15890800
2025-07-29,1859.0,12489700
2025-07-30,1871.0,52329900
2025-07-31,1866.0,9473700
2025-08-01,1838.0,11102100
2025-08-04,1825.5,7735800
2025-08-05,1860.0,10490800
2025-08-06,1787.0,12722500
2025-08-07,1720.0,14863200
2025-08-08,1727.0,13406400
2025-08-12,1758.0,12679600
2025-08-13,1880.0,23689000
2025-08-14,1825.0,9546100
2025-08-15,1820.0,5973000
2025-08-18,1818.0,5986700
2025-08-19,1805.5,5992100
2025-08-20,1754.0,11093300
2025-08-21,1759.0,5121100
2025-08-22,1752.0,5669000
2025-08-25,1777.0,7085800
2025-08-26,1749.5,7052500
2025-08-27,1769.5,5531100
2025-08-28,1777.5,4560400
2025-08-29,1767.0,6352400
2025-09-01,1728.0,8743600
2025-09-02,1725.0,5257000
2025-09-03,1700.5,6701700
2025-09-04,1692.5,8488100
2025-09-05,1662.5,10251400
2025-09-08,1702.0,10230200
2025-09-09,1712.5,8010800
2025-09-10,1742.0,6622900
2025-09-11,1729.0,5557000
2025-09-12,1728.5,10768600
2025-09-16,1777.5,10288400
2025-09-17,1749.5,6680700
2025-09-18,1759.5,6863400
2025-09-19,1765.5,19882600
2025-09-22,1846.0,12715400
2025-09-24,1822.0,11307200
2025-09-25,1876.0,10897600
2025-09-26,1795.0,13360100
2025-09-29,1742.5,7620000
2025-09-30,1706.0,10774700
2025-10-01,1688.0,8630300
2025-10-02,1689.0,11209600
2025-10-03,1812.0,23965000
2025-10-06,1815.0,12694700
2025-10-07,1871.0,12582700
2025-10-08,1844.0,9032500
2025-10-09,1813.0,10557900
2025-10-10,1796.5,12661600
2025-10-14,1710.5,17271300
2025-10-15,1793.0,12645600
2025-10-16,1940.5,20066600
2025-10-17,1922.0,11826100
2025-10-20,1917.5,8254600
2025-10-21,1995.5,18954100
2025-10-22,1957.5,11573500
2025-10-23,1848.0,13469100
2025-10-24,1843.5,11705600
2025-10-27,1890.0,10312900
2025-10-28,1916.0,8736400
2025-10-29,1906.0,9914500
2025-10-30,1829.5,33518700
2025-10-31,1911.0,30516400
2025-11-04,1933.5,14403100
2025-11-05,1851.0,13604300
2025-11-06,1907.0,13092500
2025-11-07,1835.5,13754500
2025-11-10,1850.0,7083900
2025-11-11,1871.0,10317900
2025-11-12,1943.5,16708800
2025-11-13,2013.0,17213800
2025-11-14,1935.0,11004200
2025-11-17,1904.5,10012800
2025-11-18,1872.0,12517800
2025-11-19,1815.5,12892700
2025-11-20,1847.0,8827700
2025-11-21,1798.0,19001400
2025-11-25,1778.0,8963500
2025-11-26,1834.0,8240900
2025-11-27,1829.5,6325200
2025-11-28,1851.5,5166700
2025-12-01,1809.5,7879200
2025-12-02,1812.5,6069800
2025-12-03,1931.5,14864000
2025-12-04,2130.5,19794800
2025-12-05,2070.5,15425500
2025-12-08,2100.5,9145100
2025-12-09,2141.0,8060800
2025-12-10,2190.0,16134500
2025-12-11,2137.5,7831900
2025-12-12,2193.0,8346000
2025-12-15,2162.0,6357800
2025-12-16,2051.5,10461600
2025-12-17,2100.0,10213400
2025-12-18,2015.0,9459000
2025-12-19,2037.5,11322200
2025-12-22,2139.0,8877300
2025-12-23,2138.0,5108400
2025-12-24,2115.0,5209500
2025-12-25,2152.0,3164200
2025-12-26,2162.5,3373900
2025-12-29,2138.0,4377100
2025-12-30,2140.0,4437900
2026-01-05,2225.0,8940400
2026-01-06,2300.0,11379700
2026-01-07,2349.5,11919100
2026-01-08,2280.5,8424200
2026-01-09,2380.0,10983400
2026-01-13,2420.0,9234600
2026-01-14,2410.0,8786400
2026-01-15,2349.0,10708000
2026-01-16,2328.0,9058900
2026-01-19,2322.5,5747800
2026-01-20,2356.0,7493200
2026-01-21,2406.0,10809300
2026-01-22,2517.5,13426800
2026-01-23,2513.5,10395100
2026-01-26,2355.0,10917300
2026-01-27,2390.0,9188700
2026-01-28,2589.0,21585500
2026-01-29,2624.5,13510400
2026-01-30,2576.0,11588100
2026-02-02,2453.5,12277300
2026-02-03,2592.0,14306300
2026-02-04,2574.0,13881700
2026-02-05,2766.5,36006200
2026-02-06,2957.5,23666000
2026-02-09,3103.0,18415000
2026-02-10,2982.5,19875700
2026-02-12,3015.0,14434400
2026-02-13,2940.0,11707700
2026-02-16,2912.0,6899600
2026-02-17,2984.5,8445100
2026-02-18,2961.0,8297000
2026-02-19,2998.5,8955500
2026-02-20,2908.0,9800700
2026-02-24,2839.0,15411000
2026-02-25,2949.0,10744400
2026-02-26,2906.5,9647800
2026-02-27,2969.0,11702700
2026-03-02,2898.5,6525600
2026-03-03,2726.0,11216000
2026-03-04,2625.0,12163600
2026-03-05,2623.5,16060700
2026-03-06,2610.5,12701000
2026-03-09,2400.0,12886800
2026-03-10,2549.5,14652700
